ticker,company_name,sector,market_cap,total_debt,equity_volatility,lgd,last_updated,data_source
AAPL,Apple Inc.,Technology,4562774130688.0,84711000000.0,0.240989,0.35,2026-07-08,yfinance
MSFT,Microsoft Corporation,Technology,2888472723456.0,56965000000.0,0.273796,0.35,2026-07-08,yfinance
JPM,JPMorgan Chase & Co.,Financial Services,908943818752.0,516812000000.0,0.219636,0.55,2026-07-08,yfinance
JNJ,Johnson & Johnson,Healthcare,643304587264.0,54987000000.0,0.184391,0.35,2026-07-08,yfinance
PG,The Procter & Gamble Company,Consumer Defensive,355693494272.0,37026000000.0,0.193849,0.35,2026-07-08,yfinance
F,Ford Motor Company,Consumer Cyclical,54032433152.0,159511000000.0,0.368721,0.4,2026-07-08,yfinance
M,"Macy's, Inc.",Consumer Cyclical,6084067840.0,5109000000.0,0.453835,0.4,2026-07-08,yfinance
CCL,Carnival Corporation Ltd.,Consumer Cyclical,36542238720.0,26170000000.0,0.467056,0.4,2026-07-08,yfinance
AAL,American Airlines Group Inc.,Industrials,11375824896.0,34892000000.0,0.492547,0.4,2026-07-08,yfinance
AMC,"AMC Entertainment Holdings, Inc.",Communication Services,1535280000.0,7929300000.0,0.750158,0.4,2026-07-08,yfinance
C,Citigroup Inc.,Financial Services,240094068736.0,379622000000.0,0.282681,0.55,2026-07-08,yfinance
BAC,Bank of America Corporation,Financial Services,424801927168.0,383594000000.0,0.215655,0.55,2026-07-08,yfinance
GS,"The Goldman Sachs Group, Inc.",Financial Services,307686834176.0,434737000000.0,0.2871,0.55,2026-07-08,yfinance
MS,Morgan Stanley,Financial Services,350220320768.0,394234000000.0,0.266015,0.55,2026-07-08,yfinance
WFC,Wells Fargo & Company,Financial Services,266787323904.0,216223000000.0,0.269498,0.55,2026-07-08,yfinance
GOOGL,Alphabet Inc.,Communication Services,4478710317056.0,90484000000.0,0.294848,0.4,2026-07-08,yfinance
AMZN,"Amazon.com, Inc.",Consumer Cyclical,2646033825792.0,209888000000.0,0.310448,0.4,2026-07-08,yfinance
META,"Meta Platforms, Inc.",Communication Services,1562602635264.0,86769000000.0,0.377356,0.4,2026-07-08,yfinance
NVDA,NVIDIA Corporation,Technology,4769841152000.0,12348000000.0,0.352107,0.35,2026-07-08,yfinance
TSLA,"Tesla, Inc.",Consumer Cyclical,1513181151232.0,15890000000.0,0.448574,0.4,2026-07-08,yfinance
ORCL,Oracle Corporation,Technology,407874732032.0,156189000000.0,0.619366,0.35,2026-07-08,yfinance
CRM,"Salesforce, Inc.",Technology,138836885504.0,41884000000.0,0.390518,0.35,2026-07-08,yfinance
ADBE,Adobe Inc.,Technology,88062148608.0,7065000000.0,0.356681,0.35,2026-07-08,yfinance
INTC,Intel Corporation,Technology,554820108288.0,45031000000.0,0.749999,0.35,2026-07-08,yfinance
AMD,"Advanced Micro Devices, Inc.",Technology,841569271808.0,3871000000.0,0.67576,0.35,2026-07-08,yfinance
QCOM,QUALCOMM Incorporated,Technology,192850378752.0,15270000000.0,0.509477,0.35,2026-07-08,yfinance
TXN,Texas Instruments Incorporated,Technology,266930208768.0,14050000000.0,0.428469,0.35,2026-07-08,yfinance
CSCO,"Cisco Systems, Inc.",Technology,440612978688.0,31303000000.0,0.318672,0.35,2026-07-08,yfinance
IBM,International Business Machines Corporation,Technology,287727091712.0,69802000000.0,0.40835,0.35,2026-07-08,yfinance
NOW,"ServiceNow, Inc.",Technology,114196742144.0,2431000000.0,0.529098,0.35,2026-07-08,yfinance
AMAT,"Applied Materials, Inc.",Technology,440250499072.0,7268000000.0,0.554015,0.35,2026-07-08,yfinance
MU,"Micron Technology, Inc.",Technology,1059799957504.0,6376000000.0,0.750476,0.35,2026-07-08,yfinance
LRCX,Lam Research Corporation,Technology,407848714240.0,3734479000.0,0.58328,0.35,2026-07-08,yfinance
KLAC,KLA Corporation,Technology,282769391616.0,6145360000.0,0.575716,0.35,2026-07-08,yfinance
SNPS,"Synopsys, Inc.",Technology,83605618688.0,10841960000.0,0.622756,0.35,2026-07-08,yfinance
CDNS,"Cadence Design Systems, Inc.",Technology,102344286208.0,3083354000.0,0.387667,0.35,2026-07-08,yfinance
PANW,"Palo Alto Networks, Inc.",Technology,274687606784.0,2071000000.0,0.40821,0.35,2026-07-08,yfinance
CRWD,"CrowdStrike Holdings, Inc.",Technology,198173605888.0,821343000.0,0.456915,0.35,2026-07-08,yfinance
